,id,Name,Pos,Ht,Wt,Team
0,adamsja01,Jaylen Adams,G,182.88,102.06,POR
1,adamsst01,Steven Adams,C,210.82,120.2,OKC
2,adebaba01,Bam Adebayo,C-F,205.74,115.67,MIA
3,aldrila01,LaMarcus Aldridge,F-C,210.82,113.4,SAS
4,alexaky01,Kyle Alexander,F,210.82,99.79,MIA
5,alexani01,Nickeil Alexander-Walker,G,198.12,92.99,NOP
6,allengr01,Grayson Allen,G,193.04,89.81,MEM
7,allenja01,Jarrett Allen,C-F,210.82,110.22,BRK
8,allenka01,Kadeem Allen,G,185.42,90.72,NYK
9,aminual01,Al-Farouq Aminu,F,203.2,99.79,ORL
10,anderju01,Justin Anderson,G,198.12,104.33,BRK
11,anderky01,Kyle Anderson,F-G,205.74,104.33,MEM
12,anderry01,Ryan Anderson,F,205.74,108.86,HOU
13,antetgi01,Giannis Antetokounmpo,F-G,210.82,109.77,MIL
14,antetko01,Kostas Antetokounmpo,F,208.28,90.72,LAL
15,antetth01,Thanasis Antetokounmpo,F,198.12,99.34,MIL
16,anthoca01,Carmelo Anthony,F,200.66,107.95,POR
17,anunoog01,OG Anunoby,F,200.66,105.23,TOR
18,arcidry01,Ryan Arcidiacono,G,190.5,88.45,CHI
19,arizatr01,Trevor Ariza,F,203.2,97.52,SAC/POR
20,augusdj01,D.J. Augustin,G,180.34,83.01,ORL
21,aytonde01,Deandre Ayton,C,210.82,113.4,PHO
22,bacondw01,Dwayne Bacon,G,198.12,100.24,CHO
23,baglema01,Marvin Bagley,F-C,210.82,106.59,SAC
24,balllo01,Lonzo Ball,G,198.12,86.18,NOP
25,bambamo01,Mohamed Bamba,C,213.36,104.78,ORL
26,bareajo01,J.J. Barea,G,177.8,81.65,DAL
27,barneha02,Harrison Barnes,F,203.2,102.06,SAC
28,barrerj01,RJ Barrett,G-F,198.12,97.07,NYK
29,bartowi01,Will Barton,G,198.12,82.1,DEN
30,bateske01,Keita Bates-Diop,F,203.2,103.87,MIN/DEN
31,batumni01,Nicolas Batum,F-G,203.2,104.33,CHO
32,baynear01,Aron Baynes,C,208.28,117.93,PHO
33,bazemke01,Kent Bazemore,G-F,193.04,88.45,SAC/POR
34,bazleda01,Darius Bazley,F,203.2,94.35,OKC
35,bealbr01,Bradley Beal,G,190.5,93.89,WAS
